Medical Pronunciation Lexicon for Anki Add-on

Format:
term | student-friendly pronunciation
phenazopyridine | fen-az-oh-PEER-ih-deen
phenobarbital | fee-noh-BAR-bih-tal
phenytoin | FEN-ih-toyn
piperacillin-tazobactam | pye-per-uh-SIL-in taz-oh-BAK-tam
pravastatin | PRAV-uh-stat-in
prednisone | PRED-nih-sohn
pregabalin | pree-GAB-uh-lin
propofol | PROH-poh-fol
propranolol | proh-PRAN-oh-lol
propylthiouracil | proh-pil-thy-oh-YOOR-uh-sil
quetiapine | kweh-TYE-uh-peen
rabeprazole | ruh-BEP-ruh-zohl
risperidone | ris-PAIR-ih-dohn
rivaroxaban | riv-uh-ROK-suh-ban
rosuvastatin | roh-soo-vuh-STAT-in
sacubitril-valsartan | suh-KYOO-bih-tril val-SAR-tan
semaglutide | sem-uh-GLOO-tide
sitagliptin | sit-uh-GLIP-tin
spironolactone | speye-ruh-noh-LAK-tone
succinylcholine | suk-sin-il-KOH-leen
sulfamethoxazole-trimethoprim | sul-fuh-meth-OK-suh-zohl trye-METH-oh-prim
tacrolimus | tuh-KROH-lih-mus
tamoxifen | tuh-MAHK-sih-fen
tamsulosin | tam-SOO-loh-sin
terbinafine | ter-BIN-uh-feen
ticagrelor | tye-KAG-reh-lor
tinidazole | tye-NID-uh-zohl
tiotropium | tye-oh-TROH-pee-um
topiramate | toh-PEER-uh-mate
trazodone | TRAZ-uh-done
triamcinolone | trye-am-SIN-uh-lohn
valacyclovir | val-ay-SYE-kloh-veer
valganciclovir | val-gan-SY-kloh-veer
vancomycin | van-koh-MYE-sin
varenicline | vuh-REN-ih-kleen
venlafaxine | ven-luh-FAK-seen
verapamil | ver-AP-uh-mil
voriconazole | vor-ih-KON-uh-zohl
warfarin | WAR-fuh-rin
ziprasidone | zih-PRAS-ih-dohn
zolpidem | ZOLE-pih-dem

Microbiology / Organisms
Actinomyces | ak-tih-noh-MY-seez
Anaplasma | an-uh-PLAZ-muh
Ascaris lumbricoides | AS-kuh-ris lum-brih-KOY-deez
Aspergillus | as-per-JIL-us
Babesia | buh-BEE-zee-uh
Bacteroides fragilis | bak-tuh-ROY-deez FRAJ-ih-lis
Bordetella pertussis | bor-duh-TEL-uh per-TUS-is
Borrelia burgdorferi | buh-REL-ee-uh burg-DOR-fer-eye
Brucella | broo-SEL-uh
Campylobacter jejuni | kam-pih-loh-BAK-ter juh-JOO-nye
Candida albicans | CAN-dih-duh AL-bih-kanz
Chikungunya | chik-uhn-GOON-yuh
Chlamydia trachomatis | kluh-MID-ee-uh truh-KOH-muh-tis
Clostridioides difficile | klos-trid-ee-OY-deez dif-ih-SEEL
Coccidioides | kok-sid-ee-OY-deez
Corynebacterium diphtheriae | kuh-rye-nee-bak-TEER-ee-um dif-THEER-ee-eye
Cryptococcus neoformans | krip-toh-KOK-us nee-oh-FOR-manz
Cryptosporidium | krip-toh-spuh-RID-ee-um
Cytomegalovirus | sy-toh-meg-uh-loh-VY-rus
Dientamoeba fragilis | dye-en-tuh-MEE-buh FRAJ-ih-lis
Echinococcus granulosus | ih-kye-noh-KOK-us gran-yuh-LOH-sus
Ehrlichia | air-LIK-ee-uh
Entamoeba histolytica | en-tuh-MEE-buh his-toh-LIT-ih-kuh
Enterococcus faecalis | en-ter-oh-KOK-us fee-KAL-is
Epstein-Barr virus | EP-styne BAR VY-rus
Escherichia coli | esh-er-IK-ee-uh KOH-lye
Francisella tularensis | fran-sih-SEL-uh too-luh-REN-sis
Gardnerella vaginalis | gard-nuh-REL-uh vaj-ih-NAL-is
Giardia lamblia | jee-AR-dee-uh LAM-blee-uh
Haemophilus influenzae | hee-MOF-ih-lus in-floo-EN-zee
Helicobacter pylori | hel-ih-koh-BAK-ter pie-LOR-eye
Histoplasma capsulatum | his-toh-PLAZ-muh kap-suh-LAY-tum
Klebsiella pneumoniae | kleb-zee-EL-uh noo-MOH-nee-ee
Legionella pneumophila | lee-juh-NEL-uh noo-MOF-ih-luh
Leishmania | leesh-MAN-ee-uh
Leptospira interrogans | lep-toh-SPY-ruh in-TER-uh-ganz
Listeria monocytogenes | lis-TEER-ee-uh mon-oh-sy-TOJ-uh-neez
Moraxella catarrhalis | mor-ak-SEL-uh kat-uh-RAL-is
Mycobacterium avium complex | my-koh-bak-TEER-ee-um AY-vee-um KOM-pleks
Mycobacterium tuberculosis | my-koh-bak-TEER-ee-um too-ber-kyuh-LOH-sis
Mycoplasma pneumoniae | my-koh-PLAZ-muh noo-MOH-nee-ee
Naegleria fowleri | nay-GLEER-ee-uh FOWL-er-eye
Neisseria gonorrhoeae | nye-SEER-ee-uh gon-uh-REE-ee
Neisseria meningitidis | nye-SEER-ee-uh muh-nin-JIT-ih-dis
Nocardia | noh-KAR-dee-uh
Onchocerca volvulus | ong-koh-SER-kuh VOL-vyuh-lus
Paracoccidioides | pair-uh-kok-sid-ee-OY-deez
Parvovirus B19 | par-voh-VY-rus BEE nine-TEEN
Plasmodium falciparum | plaz-MOH-dee-um fal-SIP-uh-rum
Pneumocystis jirovecii | noo-moh-SIS-tis yee-roh-VET-see-eye
Proteus mirabilis | PROH-tee-us mih-RAB-ih-lis
Pseudomonas aeruginosa | soo-doh-MOH-nas uh-roo-jih-NOH-suh
Rickettsia rickettsii | rih-KET-see-uh rih-KET-see-eye
Salmonella | sal-muh-NEL-uh
Schistosoma | shis-toh-SOH-muh
Serratia marcescens | seh-RAY-shee-uh mar-SES-enz
Shigella | shih-GEL-uh
Staphylococcus aureus | staf-ih-loh-KOK-us OR-ee-us
Stenotrophomonas maltophilia | sten-oh-trof-oh-MOH-nas mal-toh-FIL-ee-uh
Streptococcus agalactiae | strep-toh-KOK-us uh-guh-lak-TEE-ee
Streptococcus pneumoniae | strep-toh-KOK-us noo-MOH-nee-ee
Streptococcus pyogenes | strep-toh-KOK-us pie-OJ-ih-neez
Strongyloides stercoralis | stron-jih-LOY-deez ster-kuh-RAL-is
Taenia solium | TEE-nee-uh SOH-lee-um
Toxoplasma gondii | tok-soh-PLAZ-muh GON-dee-eye
Treponema pallidum | trep-uh-NEE-muh PAL-ih-dum
Trichomonas vaginalis | trik-uh-MOH-nas vaj-ih-NAL-is
Trichophyton | try-KOF-ih-ton
Trypanosoma cruzi | trih-pan-oh-SOH-muh KROO-zee
Ureaplasma urealyticum | yoo-ree-uh-PLAZ-muh yoo-ree-uh-LIT-ih-kum
Vibrio vulnificus | VIB-ree-oh vul-NIF-ih-kus
Yersinia enterocolitica | yer-SIN-ee-uh en-ter-oh-koh-LIT-ih-kuh

Gastroenterology
achalasia | ak-uh-LAY-zhuh
choledocholithiasis | koh-led-uh-koh-lih-THY-uh-sis
cholecystitis | koh-luh-sis-TY-tis
cholelithiasis | koh-lee-lih-THY-uh-sis
cirrhosis | suh-ROH-sis
Crohn disease | KROHN dih-ZEEZ
diverticulitis | dye-ver-tik-yuh-LY-tis
dysphagia | dis-FAY-jee-uh
odynophagia | oh-din-oh-FAY-jee-uh
esophagitis | ih-sof-uh-JY-tis
gastroesophageal reflux | gas-troh-ee-sof-uh-JEE-ul REE-fluks
gastroparesis | gas-troh-puh-REE-sis
hematochezia | hee-mat-oh-KEE-zee-uh
intussusception | in-tuh-suh-SEP-shun
ischemic colitis | ih-SKEE-mik koh-LY-tis
Mallory-Weiss tear | MAL-uh-ree WYS TAIR
mesenteric ischemia | mez-en-TER-ik ih-SKEE-mee-uh
pancreatitis | pan-kree-uh-TYE-tis
pyloric stenosis | pie-LOR-ik steh-NOH-sis
sclerosing cholangitis | skluh-ROH-sing koh-lan-JY-tis
ulcerative colitis | UL-ser-uh-tiv koh-LYE-tis
volvulus | VOL-vyuh-lus

Cardiology
angiography | an-jee-OG-ruh-fee
aortic regurgitation | ay-OR-tik ree-gur-jih-TAY-shun
aortic stenosis | ay-OR-tik stuh-NOH-sis
arrhythmia | uh-RITH-mee-uh
atherosclerosis | ath-er-oh-skluh-ROH-sis
cardiomyopathy | kar-dee-oh-my-OP-uh-thee
coarctation | koh-ark-TAY-shun
commotio cordis | kuh-MOH-shee-oh KOR-dis
decompensated heart failure | dee-KOM-pen-say-tid HART FAYL-yer
endocarditis | en-doh-kar-DY-tis
hypertrophic cardiomyopathy | hy-per-TROF-ik kar-dee-oh-my-OP-uh-thee
myocarditis | my-oh-kar-DY-tis
pericarditis | pair-ih-kar-DY-tis
pericardiocentesis | pair-ih-kar-dee-oh-sen-TEE-sis
pericardial effusion | pair-ih-KAR-dee-uhl ih-FYOO-zhun
supraventricular tachycardia | soo-pruh-ven-TRIK-yuh-ler tak-ee-KAR-dee-uh
tachyarrhythmia | tak-ee-uh-RITH-mee-uh
tetralogy of Fallot | teh-TRAL-uh-jee uhv fuh-LOH
thrombophlebitis | throm-boh-fluh-BYE-tis
torsades de pointes | tor-SAHD duh PWANT
ventricular fibrillation | ven-TRIK-yuh-lar fib-rih-LAY-shun

Renal / Urology
alkalosis | al-kuh-LOH-sis
anuria | uh-NYOOR-ee-uh
azotemia | az-oh-TEE-mee-uh
cystitis | sis-TYE-tis
dysuria | dis-YOOR-ee-uh
glomerulonephritis | gluh-mer-yuh-loh-nuh-FRY-tis
hydronephrosis | hy-droh-neh-FROH-sis
hypospadias | hy-poh-SPAY-dee-us
nephrolithiasis | nef-roh-lih-THYE-uh-sis
oliguria | ol-ih-GYOOR-ee-uh
pyelonephritis | pie-uh-loh-neh-FRY-tis
ureter | yoo-REE-ter
urethra | yoo-REE-thruh
vesicoureteral reflux | veh-sih-koh-yoo-REE-ter-ul REE-fluks

OB/GYN
amenorrhea | ay-men-uh-REE-uh
amniocentesis | am-nee-oh-sen-TEE-sis
bartholinitis | bar-thuh-luh-NYE-tis
chorioamnionitis | kor-ee-oh-am-nee-oh-NYE-tis
dysmenorrhea | dis-men-uh-REE-uh
dyspareunia | dis-puh-ROO-nee-uh
endometriosis | en-doh-mee-tree-OH-sis
gonorrhea | gah-nuh-REE-uh
leiomyoma | lye-oh-my-OH-muh
menorrhagia | men-uh-RAY-jee-uh
mittelschmerz | MIT-uhl-shmerts
oligomenorrhea | ol-ih-goh-men-uh-REE-uh
preeclampsia | pree-ih-KLAMP-see-uh
salpingitis | sal-pin-JYE-tis
teratoma | tair-uh-TOH-muh
vulvovaginitis | vul-voh-vaj-ih-NY-tis

Neurology
aphasia | uh-FAY-zhuh
apraxia | uh-PRAK-see-uh
asterixis | as-tuh-RIK-sis
bradykinesia | brad-ee-kih-NEE-zhuh
catatonia | kat-uh-TOH-nee-uh
chorea | kor-EE-uh
dysarthria | dis-AR-three-uh
dyslexia | dis-LEK-see-uh
encephalitis | en-sef-uh-LY-tis
encephalopathy | en-sef-uh-LOP-uh-thee
glioblastoma | gly-oh-blas-TOH-muh
hemiballismus | hem-ee-buh-LIZ-mus
hydrocephalus | hy-droh-SEF-uh-lus
meningioma | meh-nin-jee-OH-muh
meningitis | men-in-JYE-tis
myasthenia gravis | mye-as-THEE-nee-uh GRAV-is
neuralgia | noor-AL-juh
neurofibromatosis | noor-oh-fye-broh-muh-TOH-sis
papilledema | pap-il-ih-DEE-muh
paresthesia | pair-es-THEE-zhuh
pseudotumor cerebri | soo-doh-TOO-mer suh-REE-brye
spondylolisthesis | spon-dih-loh-lis-THEE-sis
subarachnoid hemorrhage | sub-uh-RAK-noyd HEM-uh-rij

Dermatology
acanthosis nigricans | ak-an-THOH-sis NYE-grih-kanz
alopecia areata | al-oh-PEE-shuh air-ee-AY-tuh
bullous pemphigoid | BUL-us PEM-fih-goyd
carbuncle | KAR-bung-kul
cellulitis | sel-yuh-LY-tis
dermatophyte | DER-muh-toh-fyte
erysipelas | air-uh-SIP-uh-lus
hidradenitis suppurativa | hy-drad-uh-NYE-tis sup-yoor-uh-TEE-vuh
impetigo | im-puh-TYE-goh
lichen planus | LYE-kun PLAY-nus
molluscum contagiosum | muh-LUS-kum kun-tay-jee-OH-sum
onychomycosis | on-ih-koh-my-KOH-sis
psoriasis | suh-RYE-uh-sis
seborrheic keratosis | seb-uh-REE-ik kair-uh-TOH-sis
tinea corporis | TIN-ee-uh KOR-puh-ris
tinea cruris | TIN-ee-uh KROO-ris
tinea pedis | TIN-ee-uh PED-is
vitiligo | vit-ih-LYE-goh

MSK / Rheumatology
achondroplasia | ay-kon-droh-PLAY-zhuh
ankylosing spondylitis | ANG-kuh-loh-sing spon-duh-LYE-tis
arthrocentesis | ar-throh-sen-TEE-sis
bursitis | ber-SYE-tis
de Quervain tenosynovitis | duh ker-VAN ten-oh-sin-oh-VYE-tis
epicondylitis | ep-ih-kon-duh-LYE-tis
genu valgum | JEE-noo VAL-gum
genu varum | JEE-noo VAIR-um
kyphosis | kye-FOH-sis
lordosis | lor-DOH-sis
osteomalacia | os-tee-oh-muh-LAY-shuh
osteomyelitis | os-tee-oh-mye-uh-LYE-tis
osteoporosis | os-tee-oh-puh-ROH-sis
scoliosis | skoh-lee-OH-sis
spondylitis | spon-duh-LYE-tis
tenosynovitis | ten-oh-sin-oh-VYE-tis

Endocrine
acromegaly | ak-roh-MEG-uh-lee
Addison disease | AD-ih-sun dih-ZEEZ
aldosteronism | al-DOS-tuh-roh-niz-um
Cushing disease | KOOSH-ing dih-ZEEZ
diabetes insipidus | dye-uh-BEE-teez in-SIP-ih-dus
diabetes mellitus | dy-uh-BEE-teez MEL-ih-tus
euthyroid | yoo-THY-royd
galactorrhea | guh-lak-tuh-REE-uh
gynecomastia | guy-nuh-koh-MAS-tee-uh
Hashimoto thyroiditis | hah-shee-MOH-toh thy-roy-DYE-tis
hyperparathyroidism | hy-per-pair-uh-THY-roy-diz-um
pheochromocytoma | fee-oh-kroh-moh-sy-TOH-muh
prolactinoma | proh-lak-tih-NOH-muh
thyrotoxicosis | thye-roh-tok-sih-KOH-sis

Pathology / Hematology / General Disease Terms
acidosis | as-ih-DOH-sis
amyloidosis | am-ih-loy-DOH-sis
anaplasia | an-uh-PLAY-zhuh
aneuploidy | an-YOO-ploy-dee
dysplasia | dis-PLAY-zhuh
hemochromatosis | hee-moh-kroh-muh-TOH-sis
hyperplasia | hy-per-PLAY-zhuh
hypertrophy | hy-PER-truh-fee
hypoplasia | hy-poh-PLAY-zhuh
metaplasia | met-uh-PLAY-zhuh
neoplasia | nee-oh-PLAY-zhuh
paraneoplastic | pair-uh-nee-oh-PLAS-tik
sarcoidosis | sar-koy-DOH-sis
thrombocytopenia | throm-boh-sye-toh-PEE-nee-uh

Procedures / Diagnostics
abdominocentesis | ab-dom-ih-noh-sen-TEE-sis
arthroscopy | ar-THROS-kuh-pee
bronchoscopy | brahng-KOS-kuh-pee
cholecystectomy | koh-lee-sis-TEK-tuh-mee
colonoscopy | koh-luh-NOS-kuh-pee
cricothyrotomy | kry-koh-thy-ROT-uh-mee
electroencephalogram | ee-lek-troh-en-SEF-uh-loh-gram
electrocardiogram | ee-lek-troh-KAR-dee-oh-gram
endoscopy | en-DOS-kuh-pee
laparoscopy | lap-uh-ROS-kuh-pee
laryngoscopy | lair-ing-GOS-kuh-pee
paracentesis | pair-uh-sen-TEE-sis
thoracentesis | thor-uh-sen-TEE-sis
tracheostomy | tray-kee-AH-stuh-mee
tympanocentesis | tim-puh-noh-sen-TEE-sis



Suggested Pronunciation System Priority

1. Exact-match medical lexicon.
2. Case-insensitive normalized match that strips punctuation, plural endings, Greek letters, and parentheticals.
3. Alias matching for brand/generic drugs, eponyms, and organism abbreviations.
4. Suffix rules for unknown words:
   -itis -> usually EYE-tis
   -emia -> usually EE-mee-uh
   -osis -> usually OH-sis
   -ectomy -> usually EK-tuh-mee
   -ostomy -> usually OS-tuh-mee
   -centesis -> usually sen-TEE-sis
   -plasty -> usually plas-tee
   -oma -> usually OH-muh
   -pathy -> usually PATH-ee
   -penia -> usually PEE-nee-uh
   -phagia -> usually FAY-jee-uh
   -rrhea -> usually REE-uh
